_id__$oid,last_modified__$date,delivery_lat,assigned_delivery_boy_id,trash,created_at__$date,delivery_lon,outlet_id,order_status,status,order_id,order_status_id,preparation_time,committed_time,eta,time_of_delivery,arrival_time_duration,delivery_boy_assigning_time__$date,actual_preparaed_time,pickup_time,approve_time,reaching_time__$date,arrival_time__$date,outlet_distance_from_delivery_person,assigning_lat_lon__001,assigning_lat_lon__002,destination_km_distance,destination_journey_duration,total_distance_travel_for_delivery
5f2b2be597555715cc9622cc,2020-08-06T03:35:22.727Z,22.5857548,10,0,2020-08-06T03:30:05.323Z,88.4212853,3,prepared,delivery boy assigned,37,4,10 minutes,4:05 AM,4:05 AM,,32 mins,2020-08-06T03:30:11.937Z,3:35 AM,,,,,,,,,,
5f2a5a84a0d5e019af365417,2020-08-05T12:37:46.308Z,22.585257,1,0,2020-08-05T12:36:44.835Z,88.422437,3,delivered,delivery boy assigned,34,6,20 minutes,12:43 PM,12:43 PM,12:37 PM,5 hours 16 mins,,,,,,,,,,,,
5f2ba8dd0077cedcc940715b,2020-08-06T12:29:16.396Z,22.5826731,null,0,2020-08-06T12:23:17.202Z,88.4190199,3,prepared,New,39,4,20 minutes,,,,,,12:29 PM,,,,,,,,,,
5f2bf91e113f22a006abf8e5,2020-08-06T18:05:42.908Z,26.326122,null,0,2020-08-06T18:05:42.908Z,94.5226826,16,approved,New,41,2,,,,,,,,,,,,,,,,,
5f2b2d113980721c5e7634c5,2020-08-06T03:37:29.362Z,22.5857548,10,0,2020-08-06T03:35:05.125Z,88.4212853,3,delivered,delivery boy assigned,38,6,10 minutes,4:10 AM,4:10 AM,3:37 AM,32 mins,2020-08-06T03:36:56.665Z,3:35 AM,3:37 AM,,,,,,,,,
5f2d52164f4aee9fc204af6a,2020-08-07T18:37:34.240Z,22.4625372,null,0,2020-08-07T18:37:34.240Z,88.3155256,18,approved,New,53304,2,,,,,,,,,,,,,,,,,
5f2cd9728cef4ca6410c83e8,2020-08-07T14:06:12.936Z,22.5841054,null,0,2020-08-07T10:02:50.322Z,88.4262028,3,prepared,New,43,4,20 minutes,,,,,,2:06 PM,,,,,,,,,,
5f2db47ca2c33375719b5a58,2020-08-08T01:39:32.288Z,22.5857548,10,0,2020-08-08T01:37:24.132Z,88.4212853,3,delivered,delivery boy assigned,46,6,20 minutes,2:13 AM,2:13 AM,1:39 AM,33 mins,2020-08-08T01:37:29.583Z,1:38 AM,1:39 AM,,,,,,,,,
5f2c13c8200d59c868945784,2020-08-07T03:11:57.300Z,22.5843865,10,0,2020-08-06T19:59:28.209Z,88.4258474,3,delivered,delivery boy assigned,42,6,20 minutes,8:33 PM,8:33 PM,3:11 AM,33 mins,2020-08-07T03:07:04.486Z,8:00 PM,3:07 AM,,,,,,,,,
5f32287dd589bb53f87c0ab6,2020-08-12T17:56:16.674Z,22.585257,10,0,2020-08-11T10:41:25.432Z,88.422437,3,delivered,delivery boy assigned,49,6,20 minutes,11:16 AM,11:16 AM,5:56 PM,33 mins,2020-08-12T17:53:52.261Z,10:44 AM,5:54 PM,,,,,,,,,
5f33db120cac956dde98e9aa,2020-08-12T18:04:31.524Z,22.5044499,23,0,2020-08-12T17:35:38.200Z,88.3485763,60,delivered,delivery boy assigned,60,6,20 minutes,5:57 PM,5:57 PM,6:04 PM,11 mins,2020-08-12T17:35:44.212Z,5:59 PM,6:00 PM,,,,,,,,,
5f345891e4992c0854691f01,2020-08-13T02:34:34.108Z,22.5857548,10,0,2020-08-13T02:31:05.560Z,88.4212853,3,delivered,delivery boy assigned,65,6,20 minutes,3:07 AM,3:07 AM,2:34 AM,33 mins,2020-08-13T02:32:11.444Z,2:31 AM,2:33 AM,,,,,,,,,
5f34e2c98991cf048cfe86af,2020-08-13T13:05:19.370Z,22.4860419,25,0,2020-08-13T12:20:49.472Z,88.331375,36,delivered,delivery boy assigned,68,6,20 minutes,12:34 PM,12:34 PM,1:05 PM,8 mins,2020-08-13T12:20:55.920Z,12:30 PM,12:55 PM,,,,,,,,,
5f34da8360ed098287efc082,2020-08-13T12:45:51.575Z,22.4874464,21,0,2020-08-13T11:45:31.413Z,88.3320274,36,delivered,delivery boy assigned,67,6,20 minutes,12:10 PM,12:10 PM,12:45 PM,16 mins,2020-08-13T12:00:53.304Z,12:05 PM,12:37 PM,,,,,,,,,
